feature,coefficient
democracy_score,1.7602498117728653
fsi_legitimacy,1.210224508365192
fsi_group_grievance,0.8598345747839623
acled_fatalities,0.5760709884606167
gdp_growth_2yr_avg,0.285581212672193
tenure_years,0.2558383950223273
any_conflict,0.2513885662682026
population,0.25101239065652226
acled_fatalities_lag1,0.19415274001641286
fsi_inequality,0.17274640615011996
ethnic_conflict,0.1657007669815492
fsi_external_intervention,0.13657555328768622
gdp_per_capita_ppp,0.1210385352999283
infant_mortality_lag1,0.09823633880591771
high_inflation,0.09418913946067949
neighbors_conflict,0.07703246570787972
partial_dem_x_nbr_conflict,0.07703246570787972
acled_civilian_targeting_events,0.0680014011987311
inflation,0.06523550333372921
acled_polviolence_events,0.05898968996549658
unemployment,0.05810776752243205
unemployment_lag1,0.032312538297684025
total_conflict_magnitude,0.0314391615821629
fsi_public_services,0.012107132892289083
conflict_neighborhood_4plus,0.0
partial_democracy,0.0
regime_openness,0.0
acled_civilian_fatalities,-0.01665130447187074
inflation_lag1,-0.01944642747943456
fsi_economy,-0.02348147449925053
high_infant_mortality,-0.04372238796998164
partial_dem_x_high_mort,-0.04372238796998164
civil_conflict,-0.048131134646977616
conflict_neighborhood_2plus,-0.07137740234481965
international_conflict,-0.149876430137752
regime_durability,-0.16493818811754205
gdp_growth,-0.19310823564486038
fsi_human_rights,-0.1949051772444558
gdp_per_capita_ppp_lag1,-0.20936981989786982
fsi_total,-0.26171266012479744
total_conflict_magnitude_lag1,-0.2813011384100886
fsi_security,-0.3443908049455065
anocracy_polity,-0.3586943032973928
acled_polviolence_events_lag1,-0.366569020199549
fsi_factionalized_elites,-0.36787184216124563
gdp_growth_lag1,-0.4096248149135778
infant_mortality,-0.7933245983121134
fsi_total_lag1,-0.860552082347164
acled_demonstration_events,-1.017520066240268
democracy_score_lag1,-1.0911298641849196
