feature,coefficient
population,0.3533104131178926
gdp_growth_2yr_avg,0.34366058636509156
tenure_years,0.26940866801887237
infant_mortality_lag1,0.24751871796962197
unemployment,0.12995128895395144
inflation,0.1114898970842223
neighbors_conflict,0.10294929039622723
partial_dem_x_nbr_conflict,0.10294929039622723
high_inflation,0.08921005259685605
gdp_per_capita_ppp,0.07352095026529665
unemployment_lag1,0.044921707646706235
conflict_neighborhood_4plus,0.0
partial_democracy,0.0
regime_openness,0.0
conflict_neighborhood_2plus,-0.0354816517249583
high_infant_mortality,-0.07332898870464401
partial_dem_x_high_mort,-0.07332898870464401
inflation_lag1,-0.08485594223919463
gdp_growth,-0.168448330079469
gdp_per_capita_ppp_lag1,-0.24178646872435963
gdp_growth_lag1,-0.504247814800678
infant_mortality,-0.8780022478941065
