metric_a,metric_b,r
PrgP_Progression,PrgP,1
Gls_Per,Gls_Standard,0.9999449947684702
Att_Short,Cmp_Short,0.9948949530956084
xG_plus_xAG_Per,npxG_plus_xAG_Per,0.9931094630201099
G_plus_A_Per,G_plus_A_minus_PK_Per,0.9930477049334612
Att_Medium,Cmp_Medium,0.9919931909201934
Gls_Standard,G_minus_PK_Per,0.9895389133292357
xG_Per,npxG_Per,0.9895151414238367
Gls_Per,G_minus_PK_Per,0.9894525414396076
Att_Total,Cmp_Total,0.9863724687979404
TotDist_Total,Cmp_Medium,0.9677830821563665
TotDist_Total,Att_Medium,0.9629519224153491
xAG_Per,xA,0.9567567794012971
TotDist_Total,Cmp_Total,0.955214480588276
TotDist_Total,Att_Total,0.9458034311952602
xG_Per,xG_plus_xAG_Per,0.9429318654932956
xG_plus_xAG_Per,npxG_Per,0.9428324950590882
Tkld_Take,Att_Take,0.9423759753200611
Att_Medium,Cmp_Total,0.9400152908751048
Cmp_Medium,Cmp_Total,0.9374250610964479
npxG_Per,npxG_plus_xAG_Per,0.9370036651422099
Sh_per_90_Standard,SoT_per_90_Standard,0.9361119427954704
PrgP_Progression,Prog,0.9359099603747306
xG_plus_xAG_Per,G_plus_A_Per,0.9356643742924555
Succ_Take,Att_Take,0.9339916438739642
npxG_Per,SoT_per_90_Standard,0.9336655299814076
Att_Medium,Att_Total,0.9324699963193341
npxG_plus_xAG_Per,G_plus_A_Per,0.9289066354473859
Att_Long,Cmp_Long,0.9286869215877668
npxG_plus_xAG_Per,G_plus_A_minus_PK_Per,0.9271154702804273
xG_Per,Gls_Standard,0.926054904159831
xG_Per,Gls_Per,0.9259328695415304
xG_plus_xAG_Per,G_plus_A_minus_PK_Per,0.9214109368410662
xG_Per,npxG_plus_xAG_Per,0.9205313615533368
npxG_Per,Gls_Standard,0.9204614084147079
G_plus_A_Per,Gls_Standard,0.9202636774247035
npxG_Per,Gls_Per,0.9200878823395127
G_plus_A_Per,Gls_Per,0.9198354582764301
G_plus_A_Per,G_minus_PK_Per,0.9172539013347153
xG_Per,SoT_per_90_Standard,0.9163942311331722
npxG_Per,G_minus_PK_Per,0.9155054740978633
PrgC_Carries,Final_Third_Carries,0.9142985550527947
Cmp_Medium,Att_Total,0.9134625182480655
G_plus_A_minus_PK_Per,G_minus_PK_Per,0.9131035310940632
npxG_plus_xAG_Per,SoT_per_90_Standard,0.9114313199525825
xG_plus_xAG_Per,SoT_per_90_Standard,0.9092443206852057
xG_Per,G_minus_PK_Per,0.902639727793603
Int,Tkl_plus_Int,0.9013213428673434
Gls_Standard,G_plus_A_minus_PK_Per,0.8994279420495238
Gls_Per,G_plus_A_minus_PK_Per,0.8988737445959563
PrgR_Receiving,Att_3rd_Touches,0.8983258559299034
PrgDist_Total,TotDist_Total,0.8971877516097745
Sh_per_90_Standard,npxG_Per,0.8945219577903982
PrgC_Progression,PrgC_Carries,0.8912974177774899
npxG_Per,G_plus_A_Per,0.8910941891713191
xG_Per,G_plus_A_Per,0.8908634220859095
PrgDist_Total,Att_Medium,0.8848444555484276
Final_Third,PrgP,0.8834804093062968
Sh_per_90_Standard,npxG_plus_xAG_Per,0.8828178290467289
SoT_per_90_Standard,G_plus_A_Per,0.8804241701353512
Sh_per_90_Standard,xG_plus_xAG_Per,0.8802228591936878
xG_Per,Sh_per_90_Standard,0.878402115829557
npxG_Per,G_plus_A_minus_PK_Per,0.8780598661872139
Final_Third,PrgP_Progression,0.877236624543598
SoT_per_90_Standard,G_plus_A_minus_PK_Per,0.8770837913768397
KP,xAG_Per,0.877000976331189
PrgDist_Total,Cmp_Medium,0.8768105771747421
SoT_per_90_Standard,G_minus_PK_Per,0.8762406594333925
PrgR_Progression,PrgR_Receiving,0.8752320191304388
SoT_per_90_Standard,Gls_Standard,0.8713331552548103
Tkl_plus_Int,Def_3rd_Tackles,0.8709010022902127
SoT_per_90_Standard,Gls_Per,0.8706706539573882
KP,xA,0.8700173471243315
xG_plus_xAG_Per,Gls_Standard,0.8683953063023958
xG_plus_xAG_Per,Gls_Per,0.8681520753549447
xG_Per,G_plus_A_minus_PK_Per,0.8628900900043799
Cmp_Total,Cmp_Short,0.8622965693038115
Att_Short,PrgP,0.8594074614549189
Cmp_Short,PrgP,0.8583497061317821
xG_plus_xAG_Per,G_minus_PK_Per,0.8562193729431218
Att_Total,Cmp_Short,0.8549718795392351
npxG_plus_xAG_Per,G_minus_PK_Per,0.8532685810869591
npxG_plus_xAG_Per,Gls_Standard,0.850510810534799
npxG_plus_xAG_Per,Gls_Per,0.8500889179505003
Sh_per_90_Standard,G_plus_A_Per,0.846891852505348
Sh_per_90_Standard,G_plus_A_minus_PK_Per,0.8467675663007623
Final_Third,Prog,0.8415787044393389
PrgDist_Total,Att_Total,0.8398959540468102
Sh_per_90_Standard,G_minus_PK_Per,0.8378944403398929
Cmp_percent_Medium,Cmp_percent_Total,0.8339497998388307
PrgR_Receiving,Att_Pen_Touches,0.8310634397637108
Sh_per_90_Standard,Gls_Standard,0.8291783620126825
Sh_per_90_Standard,Gls_Per,0.828756158099626
Cmp_Total,Att_Short,0.8285201032430436
Att_Total,Att_Short,0.8281439618182415
Cmp_Total,Final_Third,0.8270220355735047
Att_Pen_Touches,Off,0.8237003511205964
PrgR_Receiving,CPA_Carries,0.8228951862614023
npxG_plus_xAG_Per,xA,0.8202558098187747
PrgDist_Total,Cmp_Total,0.8177821106925527
Att_Total,Final_Third,0.8150993178725141
Att_3rd_Touches,Final_Third_Carries,0.8101005862976247
PrgC_Carries,Att_3rd_Touches,0.8086852123035141
Sh_per_90_Standard,Att_Pen_Touches,0.8067897796047497
npxG_plus_xAG_Per,Att_Pen_Touches,0.8024560799151301
xG_plus_xAG_Per,Att_Pen_Touches,0.7987046064464473
PrgC_Progression,Final_Third_Carries,0.7982235252717605
Final_Third,Cmp_Short,0.7971495055933003
Clr,Sh_Blocks,0.795474219385204
Cmp_Long,TotDist_Total,0.7944982141914374
PrgC_Carries,Att_Take,0.792105256100838
xG_plus_xAG_Per,xA,0.7919019265286396
Att_Short,PrgP_Progression,0.7915894399599234
Mis_Carries,Dis_Carries,0.7906997540315192
SoT_per_90_Standard,Att_Pen_Touches,0.7899028184294534
Cmp_Total,Cmp_percent_Total,0.789415539906969
PrgDist_Total,Def_3rd_Touches,0.7884806147152107
Cmp_Short,PrgP_Progression,0.7883653627996362
PrgC_Carries,CPA_Carries,0.7877232402408544
Won_Aerial,Lost_Aerial,0.7868049601604269
Cmp_Medium,Cmp_percent_Total,0.7843953261352494
npxG_Per,Att_Pen_Touches,0.7822799554130057
Final_Third,Att_Short,0.7815427882044671
PrgR_Receiving,Mis_Carries,0.7789090651674736
Att_Pen_Touches,Mis_Carries,0.7787571852506164
Tkl_plus_Int,Recov,0.7781350529014023
PrgR_Receiving,PrgC_Carries,0.7774985243289848
Def_3rd_Touches,Clr,0.7770021470735139
PrgC_Carries,Succ_Take,0.7755756998431854
Cmp_percent_Total,Cmp_percent_Short,0.7710814773799359
Succ_Take,Tkld_Take,0.7703869891420773
npxG_plus_xAG_Per,xAG_Per,0.7696233372424041
xG_Per,Att_Pen_Touches,0.7675518219938249
TotDist_Total,Cmp_percent_Total,0.7670218576272729
TotDist_Total,Cmp_percent_Short,0.7663825332825192
Att_Total,PrgP,0.7661453642931152
CPA_Carries,Att_Take,0.7657663513838243
Cmp_percent_Medium,Cmp_percent_Short,0.7601853031873184
Succ_Take,Final_Third_Carries,0.7597877176636575
Cmp_Total,Cmp_percent_Short,0.7578855568210341
PrgDist_Total,Cmp_Long,0.7560029488425289
Att_Take,Final_Third_Carries,0.7558400526696276
Cmp_Total,PrgP,0.7555712746352594
Att_Pen_Touches,CPA_Carries,0.7518470308719449
TotDist_Total,Final_Third,0.7514082695457727
Def_Pen_Touches,Def_3rd_Touches,0.7511740912948428
PrgC_Progression,PrgR_Progression,0.7508494544326243
TotDist_Total,Cmp_percent_Medium,0.7497774103418091
Att_Pen_Touches,G_plus_A_minus_PK_Per,0.7488054191028212
G_plus_A_minus_PK_Per,xA,0.7464825778647161
Att_Pen_Touches,G_plus_A_Per,0.7454833705174441
PrgDist_Total,Att_Long,0.7451075587146709
PrgR_Progression,Att_3rd_Touches,0.7446442246800792
PrgR_Receiving,Tkld_Take,0.7423525796950398
Att_3rd_Touches,Att_Take,0.7417909101316315
xG_plus_xAG_Per,xAG_Per,0.7416972478435914
PrgR_Progression,xAG_Per,0.741261506239743
KP,PPA,0.7410027795481551
Att_Medium,Cmp_percent_Total,0.7401364714652293
Att_Total,Cmp_percent_Short,0.7383211457423622
PrgR_Receiving,Att_Take,0.7360269037004197
Cmp_Medium,Cmp_percent_Medium,0.7332278282535079
G_plus_A_Per,xA,0.7299938769379832
Att_Take,Mis_Carries,0.729946692202251
PrgR_Progression,CPA_Carries,0.72990145503122
CPA_Carries,Tkld_Take,0.7280144762065848
PrgR_Progression,npxG_plus_xAG_Per,0.7277153058628939
xG_Per,Off,0.725612130489477
Att_3rd_Touches,Tkld_Take,0.7246536067768552
Att_Medium,Final_Third,0.724303761492472
Att_Short,Prog,0.7238963686828002
PrgC_Progression,CPA_Carries,0.7220373391631087
PrgC_Carries,Tkld_Take,0.7208578240946221
CPA_Carries,Succ_Take,0.7201442906708938
npxG_Per,Off,0.7170529841835176
Att_Total,PrgP_Progression,0.7163028710401765
Cmp_Short,Prog,0.7153945414991731
Def_3rd_Touches,Sh_Blocks,0.7146567541521331
PrgR_Progression,KP,0.7129917901196099
Cmp_Medium,Final_Third,0.7111450130559569
Att_3rd_Touches,xA,0.7105420802010619
PrgR_Progression,Att_Pen_Touches,0.7103894777759492
Att_3rd_Touches,Mis_Carries,0.7093279817918399
Cmp_Total,PrgP_Progression,0.7079704401216601
PrgDist_Total,Cmp_percent_Short,0.7077536269082043
PrgR_Progression,PPA,0.7064080409874498
Att_Pen_Touches,G_minus_PK_Per,0.7057914937569912
Cmp_Medium,Cmp_percent_Short,0.7055765876920528
xG_plus_xAG_Per,Off,0.7055417648456493
Att_Take,Dis_Carries,0.7046476155072507
PrgR_Receiving,Final_Third_Carries,0.7027575460386385
PrgR_Progression,xG_plus_xAG_Per,0.7015784495466743
Att_Total,Cmp_percent_Total,0.7008916043136221
