metric,n_pairs,stability_r,passes_0_40,passes_0_50,passes_0_70,category,abbrev,label
Def_Pen_Touches,132,0.9301792642084172,TRUE,TRUE,TRUE,Defending,DEFPE,Def Pen Touches
PrgC_Progression,137,0.8751964751720182,TRUE,TRUE,TRUE,Passing,PRGC,PrgC Progression
PrgR_Progression,137,0.824038993734343,TRUE,TRUE,TRUE,Passing,PRGR,PrgR Progression
npxG_Per,137,0.8226934865646938,TRUE,TRUE,TRUE,Attacking,NPXG,npxG Per
xG_Per,137,0.8202488379789128,TRUE,TRUE,TRUE,Attacking,XG,xG Per
PrgDist_Total,137,0.8196474933479139,TRUE,TRUE,TRUE,Passing,PRGDI,PrgDist Total
Def_3rd_Touches,132,0.81190959177841,TRUE,TRUE,TRUE,Defending,DEF3R,Def 3rd Touches
npxG_plus_xAG_Per,137,0.8092807877719108,TRUE,TRUE,TRUE,Passing,NPXGP,npxG+xAG Per
Sh_per_90_Standard,137,0.8084837033784663,TRUE,TRUE,TRUE,Attacking,SHPER,Sh/90 Standard
SoT_per_90_Standard,137,0.808275780950995,TRUE,TRUE,TRUE,Attacking,SOTPE,SoT/90 Standard
xG_plus_xAG_Per,137,0.8081380545441749,TRUE,TRUE,TRUE,Passing,XGPLU,xG+xAG Per
Att_Medium,137,0.8028189043304063,TRUE,TRUE,TRUE,Other,ATTME,Att Medium
Cmp_Medium,137,0.7856249841622753,TRUE,TRUE,TRUE,Passing,CMPME,Cmp Medium
TotDist_Total,137,0.7812668532887925,TRUE,TRUE,TRUE,Passing,TOTDI,TotDist Total
Att_Total,137,0.7763251533353414,TRUE,TRUE,TRUE,Other,ATT,Att Total
Att_Long,137,0.7620794688999514,TRUE,TRUE,TRUE,Other,ATTLO,Att Long
PrgC_Carries,132,0.7612084220946352,TRUE,TRUE,TRUE,Carrying,PRGC,PrgC Carries
PrgR_Receiving,132,0.7591437624210365,TRUE,TRUE,TRUE,Carrying,PRGRR,PrgR Receiving
Clr,132,0.7573433140787449,TRUE,TRUE,TRUE,Defending,CLR,Clr
Cmp_Total,137,0.7508940911914801,TRUE,TRUE,TRUE,Passing,CMP,Cmp Total
KP,137,0.7411543557243649,TRUE,TRUE,TRUE,Passing,KP,KP
Cmp_Long,137,0.7393210993067725,TRUE,TRUE,TRUE,Passing,CMPLO,Cmp Long
Att_Pen_Touches,132,0.7386804184890445,TRUE,TRUE,TRUE,Carrying,ATTPE,Att Pen Touches
Att_3rd_Touches,132,0.7344610180363048,TRUE,TRUE,TRUE,Carrying,ATT3R,Att 3rd Touches
CPA_Carries,132,0.7330322934188952,TRUE,TRUE,TRUE,Carrying,CPA,CPA Carries
Crs,132,0.7007863633197542,TRUE,TRUE,TRUE,Passing,CRS,Crs
Gls_Per,137,0.7002901627144045,TRUE,TRUE,TRUE,Attacking,GLS,Gls Per
Gls_Standard,137,0.6996391004625623,TRUE,TRUE,FALSE,Attacking,GLS,Gls Standard
Won_Aerial,132,0.6953457519779191,TRUE,TRUE,FALSE,Defending,WON,Won Aerial
PPA,137,0.6938758854371041,TRUE,TRUE,FALSE,Other,PPA,PPA
Att_Short,137,0.6932121013851921,TRUE,TRUE,FALSE,Attacking,ATTSH,Att Short
Lost_Aerial,132,0.6911414478922657,TRUE,TRUE,FALSE,Defending,LOST,Lost Aerial
G_minus_PK_Per,137,0.6903371040918461,TRUE,TRUE,FALSE,Attacking,GMINU,G minus PK Per
G_plus_A_Per,137,0.689693053260027,TRUE,TRUE,FALSE,Other,GPLUS,G+A Per
Att_Take,132,0.6889232136036733,TRUE,TRUE,FALSE,Carrying,ATT,Att Take
Mis_Carries,132,0.6867258427052616,TRUE,TRUE,FALSE,Carrying,MIS,Mis Carries
G_plus_A_minus_PK_Per,137,0.6840394315963397,TRUE,TRUE,FALSE,Attacking,GPLUS,G+A minus PK Per
Cmp_Short,137,0.6820058331728542,TRUE,TRUE,FALSE,Passing,CMPSH,Cmp Short
Succ_Take,132,0.6805558590281001,TRUE,TRUE,FALSE,Carrying,SUCC,Succ Take
CrsPA,137,0.6778932956298512,TRUE,TRUE,FALSE,Passing,CRSPA,CrsPA
Cmp_percent_Medium,137,0.6772515503525842,TRUE,TRUE,FALSE,Passing,CMPPE,Cmp percent Medium
Tkld_Take,132,0.6752917992037777,TRUE,TRUE,FALSE,Defending,TKLD,Tkld Take
Sh_Blocks,132,0.6692368480190022,TRUE,TRUE,FALSE,Defending,SH,Sh Blocks
Prog,63,0.6661625394645498,TRUE,TRUE,FALSE,Passing,PROG,Prog
PrgP_Progression,137,0.6579831848346656,TRUE,TRUE,FALSE,Passing,PRGP,PrgP Progression
Final_Third,137,0.6519019714298427,TRUE,TRUE,FALSE,Passing,FINAL,Final Third
Final_Third_Carries,132,0.643411298915835,TRUE,TRUE,FALSE,Passing,FINAL,Final Third Carries
Cmp_percent_Short,137,0.6412301650997259,TRUE,TRUE,FALSE,Passing,CMPPE,Cmp percent Short
xA,90,0.6362535590447844,TRUE,TRUE,FALSE,Passing,XA,xA
Int,132,0.6239058936385111,TRUE,TRUE,FALSE,Defending,INT,Int
xAG_Per,137,0.6233744702177408,TRUE,TRUE,FALSE,Passing,XAG,xAG Per
