metric,n_pairs,stability_r,passes_0_40,passes_0_50,passes_0_70,category,abbrev,label
Def_Pen_Touches,114,0.9203900809481715,TRUE,TRUE,TRUE,Defending,DEFPE,Def Pen Touches
PrgC_Progression,117,0.8909709263444903,TRUE,TRUE,TRUE,Passing,PRGC,PrgC Progression
PrgDist_Total,117,0.8654769601282412,TRUE,TRUE,TRUE,Passing,PRGDI,PrgDist Total
Att_Long,117,0.8510437773407051,TRUE,TRUE,TRUE,Other,ATTLO,Att Long
xG_Per,117,0.8491054117658338,TRUE,TRUE,TRUE,Attacking,XG,xG Per
PrgR_Progression,117,0.8428366045115925,TRUE,TRUE,TRUE,Passing,PRGR,PrgR Progression
Sh_per_90_Standard,117,0.8362208966093074,TRUE,TRUE,TRUE,Attacking,SHPER,Sh/90 Standard
xG_plus_xAG_Per,117,0.8329810302911707,TRUE,TRUE,TRUE,Passing,XGPLU,xG+xAG Per
npxG_Per,117,0.8306720400855391,TRUE,TRUE,TRUE,Attacking,NPXG,npxG Per
npxG_plus_xAG_Per,117,0.8207780981777285,TRUE,TRUE,TRUE,Passing,NPXGP,npxG+xAG Per
Cmp_Long,117,0.8115729371675336,TRUE,TRUE,TRUE,Passing,CMPLO,Cmp Long
TotDist_Total,117,0.7968165151112665,TRUE,TRUE,TRUE,Passing,TOTDI,TotDist Total
Def_3rd_Touches,114,0.7952269351109217,TRUE,TRUE,TRUE,Defending,DEF3R,Def 3rd Touches
SoT_per_90_Standard,117,0.7902641458159981,TRUE,TRUE,TRUE,Attacking,SOTPE,SoT/90 Standard
Att_Medium,117,0.7898551395815737,TRUE,TRUE,TRUE,Other,ATTME,Att Medium
Cmp_Medium,117,0.7819141384123683,TRUE,TRUE,TRUE,Passing,CMPME,Cmp Medium
Att_Total,117,0.7730412368661768,TRUE,TRUE,TRUE,Other,ATT,Att Total
PrgR_Receiving,114,0.7686335740931716,TRUE,TRUE,TRUE,Carrying,PRGRR,PrgR Receiving
PrgC_Carries,114,0.7591528919477089,TRUE,TRUE,TRUE,Carrying,PRGC,PrgC Carries
KP,117,0.7563734093032212,TRUE,TRUE,TRUE,Passing,KP,KP
Cmp_Total,117,0.7523509405451273,TRUE,TRUE,TRUE,Passing,CMP,Cmp Total
Att_Pen_Touches,114,0.737825850439776,TRUE,TRUE,TRUE,Carrying,ATTPE,Att Pen Touches
Att_3rd_Touches,114,0.7330590082384467,TRUE,TRUE,TRUE,Carrying,ATT3R,Att 3rd Touches
Clr,114,0.722979638015747,TRUE,TRUE,TRUE,Defending,CLR,Clr
G_plus_A_Per,117,0.7197793033166968,TRUE,TRUE,TRUE,Other,GPLUS,G+A Per
Gls_Per,117,0.7154879870257224,TRUE,TRUE,TRUE,Attacking,GLS,Gls Per
Gls_Standard,117,0.7138567519817798,TRUE,TRUE,TRUE,Attacking,GLS,Gls Standard
G_plus_A_minus_PK_Per,117,0.713362056980661,TRUE,TRUE,TRUE,Attacking,GPLUS,G+A minus PK Per
CPA_Carries,114,0.712463895178686,TRUE,TRUE,TRUE,Carrying,CPA,CPA Carries
Succ_Take,114,0.7123228935188671,TRUE,TRUE,TRUE,Carrying,SUCC,Succ Take
Tkld_Take,114,0.708581121168504,TRUE,TRUE,TRUE,Defending,TKLD,Tkld Take
Won_Aerial,114,0.7085064409372664,TRUE,TRUE,TRUE,Defending,WON,Won Aerial
PPA,117,0.7060953390514679,TRUE,TRUE,TRUE,Other,PPA,PPA
G_minus_PK_Per,117,0.705698467823067,TRUE,TRUE,TRUE,Attacking,GMINU,G minus PK Per
Att_Take,114,0.7016983578178837,TRUE,TRUE,TRUE,Carrying,ATT,Att Take
