,dispossessed,pass_progressive,pressures,passes,tackles,clearances,xg,shots,dribbles_completed,passes_into_final_third,carries
dispossessed,1.0,0.5591785913411957,-0.4372271296960476,0.4919630689441711,0.09771390046281847,0.11366604599523954,-0.24045488982403365,-0.24652828433398313,-0.1799513196909283,-0.07079297225867301,0.25684436254967974
pass_progressive,0.5591785913411957,1.0,-0.4792397389903802,0.7928412007784805,0.009254224272409954,0.22069419723507788,-0.4244273470953385,-0.4608131088115882,-0.10290563210772351,0.09091570277642888,0.6202009477404017
pressures,-0.4372271296960476,-0.4792397389903802,1.0,-0.3098952082220925,0.3319086950618817,-0.033545580578584575,0.10480309562210098,0.19314159912551107,-0.06153028185341127,0.13856825414091845,-0.22023502564530914
passes,0.4919630689441711,0.7928412007784805,-0.3098952082220925,1.0,0.24434165401475727,0.3840028295583765,-0.3518090705422956,-0.3035274572648788,-0.05321678398039696,0.34408952992880215,0.9304036090622773
tackles,0.09771390046281847,0.009254224272409954,0.3319086950618817,0.24434165401475727,1.0,0.35184008387771604,-0.20193963055606623,-0.055073499254516635,-0.06935510959241097,0.21247874990204144,0.21726371827484273
clearances,0.11366604599523954,0.22069419723507788,-0.033545580578584575,0.3840028295583765,0.35184008387771604,1.0,-0.0822048604649225,-0.13760985178114155,-0.09390815077470539,0.041729403318881496,0.36324145446482303
xg,-0.24045488982403365,-0.4244273470953385,0.10480309562210098,-0.3518090705422956,-0.20193963055606623,-0.0822048604649225,1.0,0.864759107845286,-0.014147389226597926,-0.04695457015188371,-0.25497266220855347
shots,-0.24652828433398313,-0.4608131088115882,0.19314159912551107,-0.3035274572648788,-0.055073499254516635,-0.13760985178114155,0.864759107845286,1.0,-0.054018762372597805,0.10923147377667614,-0.19348907967535514
dribbles_completed,-0.1799513196909283,-0.10290563210772351,-0.06153028185341127,-0.05321678398039696,-0.06935510959241097,-0.09390815077470539,-0.014147389226597926,-0.054018762372597805,1.0,0.32754026594028335,0.0656861634135993
passes_into_final_third,-0.07079297225867301,0.09091570277642888,0.13856825414091845,0.34408952992880215,0.21247874990204144,0.041729403318881496,-0.04695457015188371,0.10923147377667614,0.32754026594028335,1.0,0.39466174511604624
carries,0.25684436254967974,0.6202009477404017,-0.22023502564530914,0.9304036090622773,0.21726371827484273,0.36324145446482303,-0.25497266220855347,-0.19348907967535514,0.0656861634135993,0.39466174511604624,1.0
