metric,abbrev,category,label,n_pairs,stability_r,passes_0_40,passes_0_70
dispossessed,DIS,Other,Dispossessed (inverted),60,0.787,True,True
pass_progressive,PPC,Passing,Progressive passes (~10m+ toward goal),60,0.7195,True,True
pressures,PRS,Defending,Pressures,60,0.677,True,False
passes,PAS,Passing,Pass volume,60,0.5318,True,False
tackles,TAC,Defending,Tackles,60,0.5318,True,False
clearances,CLR,Defending,Clearances,60,0.4914,True,False
xg,XG,Attacking,Non-pen xG,60,0.4825,True,False
shots,SH,Attacking,Shots,60,0.4474,True,False
dribbles_completed,DRB,Carrying,Successful dribbles,60,0.4393,True,False
passes_into_final_third,PATT,Passing,Passes into final third,60,0.4314,True,False
carries,CRY,Carrying,Carries,60,0.413,True,False
