metric,abbrev,label,category,prior_league,n,spearman_r,p_value,is_best_league_for_trait
Def_Pen_Touches,DEFPE,Def Pen Touches,Defending,La Liga,11,0.1636,0.6307,False
Def_Pen_Touches,DEFPE,Def Pen Touches,Defending,Ligue 1,52,0.373,0.0065,True
Def_Pen_Touches,DEFPE,Def Pen Touches,Defending,Premier League,30,0.0549,0.773,False
Def_Pen_Touches,DEFPE,Def Pen Touches,Defending,Serie A,24,-0.0044,0.9839,False
PrgC_Progression,PRGC,PrgC Progression,Passing,La Liga,11,-0.1,0.7699,False
PrgC_Progression,PRGC,PrgC Progression,Passing,Ligue 1,52,-0.0461,0.7453,False
PrgC_Progression,PRGC,PrgC Progression,Passing,Premier League,30,0.0336,0.8601,True
PrgC_Progression,PRGC,PrgC Progression,Passing,Serie A,24,-0.0444,0.8369,False
PrgDist_Total,PRGDI,PrgDist Total,Passing,La Liga,11,0.4455,0.1697,True
PrgDist_Total,PRGDI,PrgDist Total,Passing,Ligue 1,52,0.3477,0.0116,False
PrgDist_Total,PRGDI,PrgDist Total,Passing,Premier League,30,0.143,0.4508,False
PrgDist_Total,PRGDI,PrgDist Total,Passing,Serie A,24,-0.16,0.4552,False
xG_Per,XG,xG Per,Attacking,La Liga,11,-0.3158,0.3441,False
xG_Per,XG,xG Per,Attacking,Ligue 1,52,-0.1319,0.3511,False
xG_Per,XG,xG Per,Attacking,Premier League,30,0.176,0.3521,False
xG_Per,XG,xG Per,Attacking,Serie A,24,0.1795,0.4013,True
PrgR_Receiving,PRGRR,PrgR Receiving,Carrying,La Liga,11,-0.3636,0.2716,False
PrgR_Receiving,PRGRR,PrgR Receiving,Carrying,Ligue 1,52,-0.2247,0.1092,False
PrgR_Receiving,PRGRR,PrgR Receiving,Carrying,Premier League,30,0.0498,0.7937,False
PrgR_Receiving,PRGRR,PrgR Receiving,Carrying,Serie A,24,0.1335,0.534,True
KP,KP,KP,Passing,La Liga,11,-0.0455,0.8944,False
KP,KP,KP,Passing,Ligue 1,52,-0.1053,0.4576,False
KP,KP,KP,Passing,Premier League,30,0.332,0.0731,True
KP,KP,KP,Passing,Serie A,24,0.2466,0.2454,False
Att_3rd_Touches,ATT3R,Att 3rd Touches,Carrying,La Liga,11,-0.1909,0.5739,False
Att_3rd_Touches,ATT3R,Att 3rd Touches,Carrying,Ligue 1,52,-0.1839,0.1919,False
Att_3rd_Touches,ATT3R,Att 3rd Touches,Carrying,Premier League,30,0.1297,0.4944,True
Att_3rd_Touches,ATT3R,Att 3rd Touches,Carrying,Serie A,24,-0.0144,0.9469,False
