source,metric,abbrev,label,category,outcome,n,spearman_r,p_value
fbref,PrgC_Progression,PRGC,PrgC Progression,Passing,stable_trait_score,117,0.3576,0.0001
fbref,Att_Short,ATTSH,Att Short,Attacking,stable_trait_score,117,0.3421,0.0002
fbref,Recov,RECOV,Recov,Defending,stable_trait_score,117,0.3229,0.0004
fbref,PrgDist_Total,PRGDI,PrgDist Total,Passing,stable_trait_score,117,0.3201,0.0004
fbref,Final_Third,FINAL,Final Third,Passing,stable_trait_score,117,0.2915,0.0014
fbref,Crs,CRS,Crs,Passing,stable_trait_score,117,0.2841,0.0019
fbref,CrsPA,CRSPA,CrsPA,Passing,stable_trait_score,117,0.2806,0.0022
fbref,Att_3rd_Touches,ATT3R,Att 3rd Touches,Carrying,stable_trait_score,117,0.2741,0.0028
fbref,KP,KP,KP,Passing,stable_trait_score,117,0.2661,0.0037
fbref,Succ_Take,SUCC,Succ Take,Carrying,stable_trait_score,117,0.2462,0.0075
fbref,PrgR_Receiving,PRGRR,PrgR Receiving,Carrying,stable_trait_score,117,0.1813,0.0505
fbref,Tkld_Take,TKLD,Tkld Take,Defending,stable_trait_score,117,-0.1595,0.0859
fbref,Lost_Aerial,LOST,Lost Aerial,Defending,stable_trait_score,117,0.1411,0.1291
fbref,Def_3rd_Tackles,DEF3R,Def 3rd Tackles,Defending,stable_trait_score,117,0.1233,0.1854
fbref,Fld,FLD,Fld,Other,stable_trait_score,117,0.1143,0.22
fbref,Tkl_percent_Challenges,TKLPE,Tkl percent Challenges,Defending,stable_trait_score,117,0.0911,0.3285
fbref,xG_Per,XG,xG Per,Attacking,stable_trait_score,117,0.0871,0.3504
fbref,Int,INT,Int,Defending,stable_trait_score,117,0.0841,0.3671
fbref,Def_Pen_Touches,DEFPE,Def Pen Touches,Defending,stable_trait_score,117,-0.0748,0.4231
fbref,Won_percent_Aerial,WONPE,Won percent Aerial,Defending,stable_trait_score,117,0.0743,0.4261
fbref,Clr,CLR,Clr,Defending,stable_trait_score,117,-0.057,0.5416
fbref,Mis_Carries,MIS,Mis Carries,Carrying,stable_trait_score,117,0.0535,0.567
fbref,Cmp_percent_Medium,CMPPE,Cmp percent Medium,Passing,stable_trait_score,117,0.0515,0.5813
