source,metric,abbrev,label,category,outcome,n,spearman_r,p_value,interpretation
statsbomb,passes,PAS,Pass volume,Passing,stable_trait_score,60,0.6275,0.0,Higher prior percentile → higher BL success
statsbomb,tackles,TAC,Tackles,Defending,stable_trait_score,60,0.483,0.0001,Higher prior percentile → higher BL success
statsbomb,pass_progressive,PPC,Progressive passes (~10m+ toward goal),Passing,stable_trait_score,60,0.4465,0.0003,Higher prior percentile → higher BL success
statsbomb,clearances,CLR,Clearances,Defending,stable_trait_score,60,0.421,0.0008,Higher prior percentile → higher BL success
statsbomb,xg,XG,Non-pen xG,Attacking,stable_trait_score,60,-0.3246,0.0114,See sign
statsbomb,dispossessed,DIS,Dispossessed (inverted),Other,stable_trait_score,60,0.25,0.0541,Higher prior percentile → higher BL success
statsbomb,passes_into_final_third,PATT,Passes into final third,Passing,stable_trait_score,60,0.2332,0.0729,Higher prior percentile → higher BL success
statsbomb,dribbles_completed,DRB,Successful dribbles,Carrying,stable_trait_score,60,-0.1494,0.2547,See sign
statsbomb,pressures,PRS,Pressures,Defending,stable_trait_score,60,0.0342,0.7956,Higher prior percentile → higher BL success
statsbomb,dribbles_completed,DRB,Successful dribbles,Carrying,y1_minutes,60,-0.2974,0.021,See sign
statsbomb,dispossessed,DIS,Dispossessed (inverted),Other,y1_minutes,60,0.2875,0.0259,Higher prior percentile → higher BL success
statsbomb,pressures,PRS,Pressures,Defending,y1_minutes,60,-0.2864,0.0265,See sign
statsbomb,pass_progressive,PPC,Progressive passes (~10m+ toward goal),Passing,y1_minutes,60,0.2197,0.0916,Higher prior percentile → higher BL success
statsbomb,passes_into_final_third,PATT,Passes into final third,Passing,y1_minutes,60,-0.212,0.104,See sign
statsbomb,xg,XG,Non-pen xG,Attacking,y1_minutes,60,-0.1663,0.2041,See sign
statsbomb,tackles,TAC,Tackles,Defending,y1_minutes,60,-0.101,0.4425,See sign
statsbomb,clearances,CLR,Clearances,Defending,y1_minutes,60,-0.058,0.66,See sign
statsbomb,passes,PAS,Pass volume,Passing,y1_minutes,60,-0.0301,0.8197,See sign
statsbomb,dribbles_completed,DRB,Successful dribbles,Carrying,y1_minutes_pct,60,-0.2974,0.021,See sign
statsbomb,dispossessed,DIS,Dispossessed (inverted),Other,y1_minutes_pct,60,0.2875,0.0259,Higher prior percentile → higher BL success
statsbomb,pressures,PRS,Pressures,Defending,y1_minutes_pct,60,-0.2864,0.0265,See sign
statsbomb,pass_progressive,PPC,Progressive passes (~10m+ toward goal),Passing,y1_minutes_pct,60,0.2197,0.0916,Higher prior percentile → higher BL success
statsbomb,passes_into_final_third,PATT,Passes into final third,Passing,y1_minutes_pct,60,-0.212,0.104,See sign
statsbomb,xg,XG,Non-pen xG,Attacking,y1_minutes_pct,60,-0.1663,0.2041,See sign
statsbomb,tackles,TAC,Tackles,Defending,y1_minutes_pct,60,-0.101,0.4425,See sign
statsbomb,clearances,CLR,Clearances,Defending,y1_minutes_pct,60,-0.058,0.66,See sign
statsbomb,passes,PAS,Pass volume,Passing,y1_minutes_pct,60,-0.0301,0.8197,See sign
